Country,Project,Main_fuel,Other_fuels,Location,Status,Capacity,Began_operations,Owner,Capital,CompanyHQ,Shareholders,Notes,Links,Latitude,Longitude,capacity_old,Fuel_test
Brasil,Luiz Oscar Rodrigues de Melo (Antiga Linhares),Gas natural,,Linhares - ES,Activa,204,23/12/2010,Linhares Geração S.A.,Privado,Linhares,Linhares Geração S.A.,werid coordinates,,-19.5339665,-39.8029832,204,Gas
Brasil,Pernambuco III,Fuel oil,,Igarassu - PE,Activa,201,5/12/13,Termelétrica Pernambuco Iii S.A,Privado,Igarassu,Termelétrica Pernambuco Iii S.A,werid coordinates,,-7.5145,-35.13,201,Fuel oil
Brasil,Termobahia (Antiga Celso Furtado),Gas natural,,São Francisco do Conde - BA,Activa,186,9/2/04,Petróleo Brasileiro S A Petrobras,Mixto,Rio de Janeiro,Petróleo Brasileiro S A Petrobras,werid coordinates,,-12.4228,-38.3435,186,Gas
Brasil,CTE II,Gas natural,,Volta Redonda - RJ,Activa,178,1/4/03,Companhia Siderúrgica Nacional,Privado,São Paulo,Companhia Siderúrgica Nacional,werid coordinates,,-22.31228,-44.6144,178,Gas
Brasil,Palmeiras de Goiás,Diesel,,Palmeiras de Goiás - GO,Activa,176,17/07/2012,Central Energética Palmeiras S.A,Privado,Palmeiras de Goiás,Central Energética Palmeiras S.A,werid coordinates,,-16.4836,-49.5528,176,Diesel
Brasil,Viana,Fuel oil,,Viana - ES,Activa,175,6/1/10,Termelétrica Viana S.A.,Privado,Rio de Janeiro,Termelétrica Viana S.A.,werid coordinates,,-20.224062,-40.621949,175,Fuel oil
Brasil,Termonordeste,Fuel oil,,João Pessoa - PB,Activa,171,24/12/2010,Centrais Elétricas Da Paraíba S.A.,Privado,João Pessoa,Centrais Elétricas Da Paraíba S.A.,werid coordinates,,-6.1346,-36.123,171,Fuel oil
Brasil,Termoparaíba,Fuel oil,,João Pessoa - PB,Activa,171,13/01/2011,Centrais Elétricas Da Paraíba S.A.,Privado,João Pessoa,Centrais Elétricas Da Paraíba S.A.,werid coordinates,,-7.21049,-34.9232955,171,Fuel oil
Brasil,Campina Grande,Fuel oil,,Campina Grande - PB,Activa,169,8/2/11,Borborema Energética S.A.,Privado,Campina Grande,Borborema Energética S.A.,werid coordinates,,-7.145,-35.5358,169,Fuel oil
Brasil,Maracanaú I,Fuel oil,,Maracanaú - CE,Activa,168,30/12/2010,Maracanaú Geradora De Energia S.A.,Privado,Fortaleza,Maracanaú Geradora De Energia S.A.,werid coordinates,,-3.8503708,-38.5580521,168,Fuel oil
